timestamp,asset,price,position,peakPrice,trailLevel,equity,unrealizedPnL,realizedPnL,event,tradeReturn,cumFees
2026-04-08T10:00:00.000Z,BTC,71476.9800,LONG,71924.2200,61135.5870,10677.77,677.77,0.00,HOLD,,0.00
2026-04-08T10:00:00.000Z,ETH,2242.6700,LONG,2256.4800,1918.0080,10936.81,936.81,0.00,HOLD,,0.00
2026-04-08T11:00:00.000Z,BTC,71675.1200,LONG,71924.2200,61135.5870,10707.37,707.37,0.00,HOLD,,0.00
2026-04-08T11:00:00.000Z,ETH,2247.2300,LONG,2256.4800,1918.0080,10959.05,959.05,0.00,HOLD,,0.00
2026-04-08T12:00:00.000Z,BTC,72071.9500,LONG,72071.9500,61261.1575,10766.65,766.65,0.00,HOLD,,0.00
2026-04-08T12:00:00.000Z,ETH,2255.8800,LONG,2256.4800,1918.0080,11001.23,1001.23,0.00,HOLD,,0.00
2026-04-08T13:00:00.000Z,BTC,71600.0100,LONG,72071.9500,61261.1575,10696.15,696.15,0.00,HOLD,,0.00
2026-04-08T13:00:00.000Z,ETH,2236.0600,LONG,2256.4800,1918.0080,10904.58,904.58,0.00,HOLD,,0.00
2026-04-08T14:00:00.000Z,BTC,70912.8800,LONG,72071.9500,61261.1575,10593.50,593.50,0.00,HOLD,,0.00
2026-04-08T14:00:00.000Z,ETH,2195.2200,LONG,2256.4800,1918.0080,10705.41,705.41,0.00,HOLD,,0.00
2026-04-08T15:00:00.000Z,BTC,71310.0000,LONG,72071.9500,61261.1575,10652.82,652.82,0.00,HOLD,,0.00
2026-04-08T15:00:00.000Z,ETH,2215.4500,LONG,2256.4800,1918.0080,10804.07,804.07,0.00,HOLD,,0.00
2026-04-08T16:00:00.000Z,BTC,71602.1000,LONG,72071.9500,61261.1575,10696.46,696.46,0.00,HOLD,,0.00
2026-04-08T16:00:00.000Z,ETH,2220.7600,LONG,2256.4800,1918.0080,10829.96,829.96,0.00,HOLD,,0.00
2026-04-08T17:00:00.000Z,BTC,71888.1900,LONG,72071.9500,61261.1575,10739.20,739.20,0.00,HOLD,,0.00
2026-04-08T17:00:00.000Z,ETH,2231.8800,LONG,2256.4800,1918.0080,10884.19,884.19,0.00,HOLD,,0.00
2026-04-08T18:00:00.000Z,BTC,71099.6300,LONG,72071.9500,61261.1575,10621.40,621.40,0.00,HOLD,,0.00
2026-04-08T18:00:00.000Z,ETH,2201.4100,LONG,2256.4800,1918.0080,10735.60,735.60,0.00,HOLD,,0.00
2026-04-08T19:00:00.000Z,BTC,71318.4800,LONG,72071.9500,61261.1575,10654.09,654.09,0.00,HOLD,,0.00
2026-04-08T19:00:00.000Z,ETH,2211.0400,LONG,2256.4800,1918.0080,10782.56,782.56,0.00,HOLD,,0.00
2026-04-08T20:00:00.000Z,BTC,71372.9300,LONG,72071.9500,61261.1575,10662.22,662.22,0.00,HOLD,,0.00
2026-04-08T20:00:00.000Z,ETH,2209.8100,LONG,2256.4800,1918.0080,10776.56,776.56,0.00,HOLD,,0.00
2026-04-08T21:00:00.000Z,BTC,71551.3900,LONG,72071.9500,61261.1575,10688.88,688.88,0.00,HOLD,,0.00
2026-04-08T21:00:00.000Z,ETH,2214.5300,LONG,2256.4800,1918.0080,10799.58,799.58,0.00,HOLD,,0.00
2026-04-08T22:00:00.000Z,BTC,71064.8400,LONG,72071.9500,61261.1575,10616.20,616.20,0.00,HOLD,,0.00
2026-04-08T22:00:00.000Z,ETH,2189.8700,LONG,2256.4800,1918.0080,10679.32,679.32,0.00,HOLD,,0.00
2026-04-08T23:00:00.000Z,BTC,71069.9300,LONG,72071.9500,61261.1575,10616.96,616.96,0.00,HOLD,,0.00
2026-04-08T23:00:00.000Z,ETH,2190.0000,LONG,2256.4800,1918.0080,10679.96,679.96,0.00,HOLD,,0.00
2026-04-09T00:00:00.000Z,BTC,70815.5000,LONG,72071.9500,61261.1575,10578.95,578.95,0.00,HOLD,,0.00
2026-04-09T00:00:00.000Z,ETH,2183.0300,LONG,2256.4800,1918.0080,10645.97,645.97,0.00,HOLD,,0.00
2026-04-09T01:00:00.000Z,BTC,70928.8900,LONG,72071.9500,61261.1575,10595.89,595.89,0.00,HOLD,,0.00
2026-04-09T01:00:00.000Z,ETH,2178.6900,LONG,2256.4800,1918.0080,10624.80,624.80,0.00,HOLD,,0.00
2026-04-09T02:00:00.000Z,BTC,71060.6400,LONG,72071.9500,61261.1575,10615.57,615.57,0.00,HOLD,,0.00
2026-04-09T02:00:00.000Z,ETH,2181.6900,LONG,2256.4800,1918.0080,10639.43,639.43,0.00,HOLD,,0.00
2026-04-09T03:00:00.000Z,BTC,70992.3900,LONG,72071.9500,61261.1575,10605.38,605.38,0.00,HOLD,,0.00
2026-04-09T03:00:00.000Z,ETH,2182.4900,LONG,2256.4800,1918.0080,10643.33,643.33,0.00,HOLD,,0.00
2026-04-09T04:00:00.000Z,BTC,70782.0000,LONG,72071.9500,61261.1575,10573.95,573.95,0.00,HOLD,,0.00
2026-04-09T04:00:00.000Z,ETH,2177.6400,LONG,2256.4800,1918.0080,10619.68,619.68,0.00,HOLD,,0.00
2026-04-09T05:00:00.000Z,BTC,70984.0000,LONG,72071.9500,61261.1575,10604.12,604.12,0.00,HOLD,,0.00
2026-04-09T05:00:00.000Z,ETH,2182.1700,LONG,2256.4800,1918.0080,10641.77,641.77,0.00,HOLD,,0.00
2026-04-09T06:00:00.000Z,BTC,71031.8400,LONG,72071.9500,61261.1575,10611.27,611.27,0.00,HOLD,,0.00
2026-04-09T06:00:00.000Z,ETH,2181.5100,LONG,2256.4800,1918.0080,10638.55,638.55,0.00,HOLD,,0.00
2026-04-09T07:00:00.000Z,BTC,70982.0100,LONG,72071.9500,61261.1575,10603.83,603.83,0.00,HOLD,,0.00
2026-04-09T07:00:00.000Z,ETH,2181.1400,LONG,2256.4800,1918.0080,10636.75,636.75,0.00,HOLD,,0.00
2026-04-09T08:00:00.000Z,BTC,71249.5100,LONG,72071.9500,61261.1575,10643.79,643.79,0.00,HOLD,,0.00
2026-04-09T08:00:00.000Z,ETH,2186.3700,LONG,2256.4800,1918.0080,10662.25,662.25,0.00,HOLD,,0.00
2026-04-09T09:00:00.000Z,BTC,71534.6800,LONG,72071.9500,61261.1575,10686.39,686.39,0.00,HOLD,,0.00
2026-04-09T09:00:00.000Z,ETH,2194.1400,LONG,2256.4800,1918.0080,10700.15,700.15,0.00,HOLD,,0.00
2026-04-09T10:00:00.000Z,BTC,71276.4500,LONG,72071.9500,61261.1575,10647.81,647.81,0.00,HOLD,,0.00
2026-04-09T10:00:00.000Z,ETH,2190.7000,LONG,2256.4800,1918.0080,10683.37,683.37,0.00,HOLD,,0.00
2026-04-09T11:00:00.000Z,BTC,71150.1700,LONG,72071.9500,61261.1575,10628.95,628.95,0.00,HOLD,,0.00
2026-04-09T11:00:00.000Z,ETH,2180.2600,LONG,2256.4800,1918.0080,10632.46,632.46,0.00,HOLD,,0.00
2026-04-09T12:00:00.000Z,BTC,71279.6300,LONG,72071.9500,61261.1575,10648.29,648.29,0.00,HOLD,,0.00
2026-04-09T12:00:00.000Z,ETH,2183.3400,LONG,2256.4800,1918.0080,10647.48,647.48,0.00,HOLD,,0.00
2026-04-09T13:00:00.000Z,BTC,70801.9800,LONG,72071.9500,61261.1575,10576.93,576.93,0.00,HOLD,,0.00
2026-04-09T13:00:00.000Z,ETH,2165.2200,LONG,2256.4800,1918.0080,10559.11,559.11,0.00,HOLD,,0.00
2026-04-09T14:00:00.000Z,BTC,71123.7100,LONG,72071.9500,61261.1575,10624.99,624.99,0.00,HOLD,,0.00
2026-04-09T14:00:00.000Z,ETH,2177.6300,LONG,2256.4800,1918.0080,10619.63,619.63,0.00,HOLD,,0.00
2026-04-09T15:00:00.000Z,BTC,72141.9900,LONG,72141.9900,61320.6915,10777.11,777.11,0.00,HOLD,,0.00
2026-04-09T15:00:00.000Z,ETH,2217.9900,LONG,2256.4800,1918.0080,10816.46,816.46,0.00,HOLD,,0.00
2026-04-09T16:00:00.000Z,BTC,72080.8700,LONG,72141.9900,61320.6915,10767.98,767.98,0.00,HOLD,,0.00
2026-04-09T16:00:00.000Z,ETH,2208.3300,LONG,2256.4800,1918.0080,10769.35,769.35,0.00,HOLD,,0.00
2026-04-09T17:00:00.000Z,BTC,72347.4900,LONG,72347.4900,61495.3665,10807.81,807.81,0.00,HOLD,,0.00
2026-04-09T17:00:00.000Z,ETH,2222.7500,LONG,2256.4800,1918.0080,10839.67,839.67,0.00,HOLD,,0.00
2026-04-09T18:00:00.000Z,BTC,71888.6900,LONG,72347.4900,61495.3665,10739.27,739.27,0.00,HOLD,,0.00
2026-04-09T18:00:00.000Z,ETH,2206.8600,LONG,2256.4800,1918.0080,10762.18,762.18,0.00,HOLD,,0.00
2026-04-09T19:00:00.000Z,BTC,72096.3200,LONG,72347.4900,61495.3665,10770.29,770.29,0.00,HOLD,,0.00
2026-04-09T19:00:00.000Z,ETH,2216.4200,LONG,2256.4800,1918.0080,10808.80,808.80,0.00,HOLD,,0.00
2026-04-09T20:00:00.000Z,BTC,72413.9700,LONG,72413.9700,61551.8745,10817.74,817.74,0.00,HOLD,,0.00
2026-04-09T20:00:00.000Z,ETH,2213.0800,LONG,2256.4800,1918.0080,10792.51,792.51,0.00,HOLD,,0.00
2026-04-09T21:00:00.000Z,BTC,72264.9500,LONG,72413.9700,61551.8745,10795.48,795.48,0.00,HOLD,,0.00
2026-04-09T21:00:00.000Z,ETH,2210.7800,LONG,2256.4800,1918.0080,10781.29,781.29,0.00,HOLD,,0.00
2026-04-09T22:00:00.000Z,BTC,71946.0100,LONG,72413.9700,61551.8745,10747.84,747.84,0.00,HOLD,,0.00
2026-04-09T22:00:00.000Z,ETH,2197.6900,LONG,2256.4800,1918.0080,10717.46,717.46,0.00,HOLD,,0.00
2026-04-09T23:00:00.000Z,BTC,71787.9700,LONG,72413.9700,61551.8745,10724.23,724.23,0.00,HOLD,,0.00
2026-04-09T23:00:00.000Z,ETH,2190.2000,LONG,2256.4800,1918.0080,10680.93,680.93,0.00,HOLD,,0.00
